,Unnamed: 0,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology,id,reaction_id,experiment_number,turbidity_label,di_smiles,tri_smiles,di_cactvs_fingerprint,di_fingerprint,di_charge,di_complexity,di_covalent_unit_count,di_defined_atom_stereo_count,di_defined_bond_stereo_count,di_exact_mass,di_h_bond_acceptor_count,di_h_bond_donor_count,di_heavy_atom_count,di_xlogp,di_molecular_weight,di_rotatable_bond_count,di_tpsa,tri_cactvs_fingerprint,tri_fingerprint,tri_charge,tri_complexity,tri_covalent_unit_count,tri_defined_atom_stereo_count,tri_defined_bond_stereo_count,tri_exact_mass,tri_h_bond_acceptor_count,tri_h_bond_donor_count,tri_heavy_atom_count,tri_xlogp,tri_molecular_weight,tri_rotatable_bond_count,tri_tpsa,conversion_label,di_hardness,di_nbr_arom,tri_hardness,tri_nbr_arom
0,0,AB-02-005,1,9,Di1,TriB,2,3,H2,2,355.20484779749995,355.20633,355.70863,4345000,2+3,2,185,AB-02-005,turbid,O=Cc1cccc(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,10000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000000101000001001100000000010001100000000000010000000000000000000000000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000000000000000000000010001000100000000001000000000000000011001000000010000010000000110010100000000001010100010000100000000010000100000000001000001000000000000000000010001000100110000111000010001000101001000000100011100000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117,1,0,0,134.0367794,2,0,10,1.2,134.13,2,34.1,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
1,1,AB-02-005,1,9,Di1,TriB,2,3,Na1,1,731.3838148120999,731.38679,732.39014,5375000,2+3,2,185,AB-02-005,turbid,O=Cc1cccc(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,10000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000000101000001001100000000010001100000000000010000000000000000000000000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000000000000000000000010001000100000000001000000000000000011001000000010000010000000110010100000000001010100010000100000000010000100000000001000001000000000000000000010001000100110000111000010001000101001000000100011100000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117,1,0,0,134.0367794,2,0,10,1.2,134.13,2,34.1,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
2,2,AB-02-005,1,9,Di1,TriB,2,3,K1,1,747.3577522111999,747.36147,748.36423,702500,2+3,2,185,AB-02-005,turbid,O=Cc1cccc(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,10000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000000101000001001100000000010001100000000000010000000000000000000000000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000000000000000000000010001000100000000001000000000000000011001000000010000010000000110010100000000001010100010000100000000010000100000000001000001000000000000000000010001000100110000111000010001000101001000000100011100000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117,1,0,0,134.0367794,2,0,10,1.2,134.13,2,34.1,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
3,3,AB-02-005,1,10,Di2,TriB,2,3,H2,2,463.2911207,463.29423,463.79488,10610000,2+3,8,168,AB-02-005,dissolved,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000011010000000000000000000001000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000010000000000000000000001000100000000001000001000000100011001000000010000010011000110110100000100001010100010010100000000111000101000000001001001110000000010001000010001001100110000111100010001100101011110000100011111010000000000000000000100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224,1,0,0,206.0942943,3,1,15,2.7,206.24,3,54.4,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
4,4,AB-02-005,1,10,Di2,TriB,2,3,H1,1,925.5744163,925.5803,926.58282,16530000,2+3,8,168,AB-02-005,dissolved,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000011010000000000000000000001000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000010000000000000000000001000100000000001000001000000100011001000000010000010011000110110100000100001010100010010100000000111000101000000001001001110000000010001000010001001100110000111100010001100101011110000100011111010000000000000000000100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224,1,0,0,206.0942943,3,1,15,2.7,206.24,3,54.4,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
5,5,AB-02-005,1,10,Di2,TriB,2,3,H4N1,1,942.6009654,942.59213,943.60048,311300,2+3,8,168,AB-02-005,dissolved,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000011010000000000000000000001000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000010000000000000000000001000100000000001000001000000100011001000000010000010011000110110100000100001010100010010100000000111000101000000001001001110000000010001000010001001100110000111100010001100101011110000100011111010000000000000000000100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224,1,0,0,206.0942943,3,1,15,2.7,206.24,3,54.4,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
6,6,AB-02-005,1,10,Di2,TriB,2,3,Na1,1,947.5563606,947.56194,948.56562,2233000,2+3,8,168,AB-02-005,dissolved,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000011010000000000000000000001000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000010000000000000000000001000100000000001000001000000100011001000000010000010011000110110100000100001010100010010100000000111000101000000001001001110000000010001000010001001100110000111100010001100101011110000100011111010000000000000000000100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224,1,0,0,206.0942943,3,1,15,2.7,206.24,3,54.4,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
7,7,AB-02-005,1,10,Di2,TriB,2,3,K1,1,963.530298,963.53421,964.53787,4061000,2+3,8,168,AB-02-005,dissolved,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Cc1c(CN)c(C)c(CN)c(C)c1CN,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000111000000100101000001001100000000010001100100000011010000000000000000000001000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000010000000000000000000001000100000000001000001000000100011001000000010000010011000110110100000100001010100010010100000000111000101000000001001001110000000010001000010001001100110000111100010001100101011110000100011111010000000000000000000100000000000000000000010000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224,1,0,0,206.0942943,3,1,15,2.7,206.24,3,54.4,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
8,8,AB-02-005,1,11,Di3,TriB,4,6,H2,2,895.1873448,895.19272,895.68786,104200,4+6,14,169,AB-02-005,turbid,O=Cc1cc2sc(C=O)cc2s1,Cc1c(CN)c(C)c(CN)c(C)c1CN,10000000011100000011000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100010010000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000011111100000000000000000000001101000000100000000000000000000000000000000000000100000000000101000001101000000000010001100000000000110000000000000000000000000001000100011000000000000101000010100101000000000000000000000110000000010000000001001000000100000010000010000001000100000011001000000000000000011001000000010000010000000110010101000000001010100010000100000000010000100000000001000001000000000000000001010001000100110000111000010001000100010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000003718070300060000000000000000000000000012240000000000000000012000001F800001A04000000000800A0D0023001800000088C00285280000300802408104088190000C8082032A015108021002080002889870888808000000000000000000000000000000000000000000000,0,185,1,0,0,195.9652717,4,0,12,2.3,196.3,2,90.6,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,partial,Rigid,2,Flexible,1
9,9,AB-02-005,1,12,Di4,TriB,4,6,H1,1,1417.795916,1417.80087,1418.80382,866900,4+6,20,148,AB-02-005,turbid,O=Cc1ccc(C=O)cc1,Cc1c(CN)c(C)c(CN)c(C)c1CN,10000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000000101000001001100000000010001100000000000010000000000000000000000000000000100010000000001000101000010100101000000000000000000000100000000000000000001001000000000000000000000010001000100000000001000000000000000011001000000010000010000000110010100000000001010100010000100000000010000100000000001000001000000000000000000010001000100110000111000010001000100000000000100011100100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E40000000000000008000000000000000000000000000,0,107,1,0,0,134.0367794,2,0,10,0.9,134.13,2,34.1,11100000011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000000000110000010001100000000100000000100000000010000000010000000000000000000000100000000000001000000000010000000000000000000000100000100000000000000000001000000000000000000000000000001000100010000000000000000000010010001000000010000010000000100010100000001001000000010001100000000010000000000000011000001000000000000000000010001000100000000111000100001000000011000000000011101100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0,144,1,0,0,207.1735477,3,3,15,-0.4,207.32,3,78.1,complete,Rigid,1,Flexible,1
