precursor_combination,plate_number,turbidity
A1,01,89.3897306681133
A2,01,95.42376421663637
A3,01,85.60818769955888
A4,01,100.88581352165048
A5,01,104.25999195318843
A6,01,74.23966381233599
A7,01,79.8638621489279
A8,01,103.7091003631233
A9,03,70.60357590820898
A10,03,104.6873321948999
A11,03,76.9927593222902
A12,03,100.92468962217103
A13,03,78.25828313090247
A14,03,75.35453300111156
A15,03,77.93548433237005
A16,03,73.44841115341325
B1,01,68.01041899779516
B2,01,51.066493744658274
B3,01,108.90159856636721
B4,01,57.66172808160697
B5,01,53.121768428240514
B6,01,53.71876183702276
B7,01,52.298703925305325
B8,01,80.47123011236185
B9,03,121.55091882902376
B10,03,56.594809527246824
B11,03,106.76973736285662
B12,03,74.07075506000402
B13,03,52.431721901261284
B14,03,68.63971798432163
B15,03,53.199300725510106
B16,03,60.09036168804578
C1,01,52.05628204713617
C2,01,52.85598092889458
C3,01,64.75422033971628
C4,01,53.91345408050645
C5,01,51.80397759811639
C6,01,74.33368163906292
C7,01,66.68718119931373
C8,01,58.966808824955265
C9,03,68.09324970626373
C10,03,56.59724650799152
C11,03,49.923441948903346
C12,03,57.36143786919855
C13,03,55.52662215293919
C14,03,70.21774324030167
C15,03,54.01094912956549
C16,03,56.36636622356367
D1,01,
D2,01,46.1242721766123
D3,01,47.06490225486331
D4,01,57.55812354342506
D5,01,55.47241288781539
D6,01,56.47665451096112
D7,01,46.90333854447828
D8,01,55.67372629256218
D9,03,61.86217276505278
D10,03,55.890270586288665
D11,03,52.37679952076338
D12,03,59.7539592621388
D13,03,54.454254548774344
D14,03,57.57273341452725
D15,03,55.069114336409676
D16,03,58.44660422384277
E1,01,77.14365028159386
E2,01,56.025139801766365
E3,01,84.83322601766679
E4,01,56.36883985368441
E5,01,78.57970349028491
E6,01,49.85453171838
E7,01,70.65191797017977
E8,01,62.120374193642114
E9,03,54.734558544529456
E10,03,66.12243718450297
E11,03,55.393667020647456
E12,03,61.337633691171966
E13,03,55.55211201754815
E14,03,56.11293047012846
E15,03,52.82665945802672
E16,03,56.151625222526434
F1,01,60.89929095088244
F2,01,72.15638982817198
F3,01,103.49699562635574
F4,01,67.760130890205
F5,01,73.07653179656754
F6,01,79.29629628103523
F7,01,72.58106711441137
F8,01,90.65678674039823
F9,03,62.82126393556938
F10,03,73.6523558879694
F11,03,64.0802438689674
F12,03,61.18637432232383
F13,03,63.8178141683976
F14,03,60.59629249101798
F15,03,62.89991704032861
F16,03,66.0959245569733
G17,02,59.93416122489115
G18,02,54.48092272769435
G19,02,66.11060175408537
G20,02,53.44653237994999
G21,02,106.54254559939811
G22,02,59.823468282232
G23,02,59.2008243787947
G24,02,59.44878926964621
G25,01,23.80422729853927
G26,01,25.310214376679696
G27,04,27.809733754593378
G28,04,
G29,04,23.033204680593332
G30,04,27.91266738278749
G31,04,23.06427430756272
G32,04,47.10784911792923
G33,04,22.327898670598156
G34,04,28.901471941991314
H17,02,60.14909203124839
H18,02,67.54201626048261
H19,02,68.28893220838314
H20,02,65.09854804395997
H21,02,68.11965038473053
H22,02,80.25265098677623
H23,02,72.83825973244477
H24,02,56.65403580610584
H25,01,22.878536754000926
H26,01,22.1418646671719
H27,04,29.845158829468115
H28,04,37.93361998666927
H29,04,29.825632633168723
H30,04,41.342345597169306
H31,04,29.00070713575111
H32,04,40.665975555247705
H33,04,23.834987968676923
H34,04,25.95746998164616
I17,02,83.86194316423605
I18,02,61.93776080850837
I19,02,89.5376646917865
I20,02,62.715821385565526
I21,02,84.92358732587319
I22,02,60.924564803486234
I23,02,72.873115789023
I24,02,65.36612159207702
I25,01,22.91995936373198
I26,01,22.196671321464592
I27,04,28.943046550258696
I28,04,23.71568302097199
I29,04,23.5224267284992
I30,04,23.124321221581436
I31,04,23.98914524052123
I32,04,76.54460143655623
I33,04,29.383093414130105
I34,04,39.73152680733318
J17,02,63.44495347291065
J18,02,56.27963064111671
J19,02,76.46707206262565
J20,02,75.48936470793566
J21,02,58.94630275524697
J22,02,55.700039933158926
J23,02,58.05655336088699
J24,02,59.68118731234515
J25,01,23.242956479736698
J26,01,23.572349581912057
J27,04,23.67542070603892
J28,04,23.415719600591803
J29,04,23.092023003974116
J30,04,22.424292504705946
J31,04,23.034607124327465
J32,04,24.853108790004576
J33,04,24.357119755093095
J34,04,23.730365442853792
K17,02,87.0911877847315
K18,02,73.82004893153896
K19,02,86.65687546233812
K20,02,58.44598645306731
K21,02,78.86106215156354
K22,02,67.12891228340318
K23,02,69.7504596690599
K24,02,70.44654630433571
K25,01,34.36000039623289
K26,01,26.666185934344004
K27,04,55.294637499508916
K28,04,70.74376719728188
K29,04,23.692474332440426
K30,04,25.929304313926043
K31,04,30.457219942311955
K32,04,34.29146574490999
K33,04,22.379683119271043
K34,04,49.93475772559074
L17,02,78.39322526961006
L18,02,78.81979078195951
L19,02,88.27842427086883
L20,02,70.35097280253515
L21,02,74.53518242127065
L22,02,73.44166797744496
L23,02,84.75813548375764
L24,02,76.39077125849569
L25,01,33.96746117348163
L26,01,39.33786797666242
L27,01,
L28,01,42.00698555070465
L29,01,44.660629307461804
L30,01,38.17159907377869
L31,01,61.34452366226022
L32,01,45.29187364004884
L33,02,36.165824648981136
L34,02,47.6071569671583
M17,04,65.02878203389918
M18,04,53.961556799617085
M19,04,72.24668806147031
M20,04,54.58359705801754
M21,04,56.87662859177147
M22,04,64.17262418778589
M23,04,66.15486660831586
M24,04,52.32418523599953
M25,01,31.969298182054363
M26,01,29.940532979421107
M27,01,30.161884509784088
M28,01,34.51847849127531
M29,01,30.939652914606672
M30,01,28.892638174591056
M31,01,46.49646259702797
M32,01,40.64306325040872
M33,02,35.391615127351415
