,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology
0,AB-02-005,1,9,Di1,TriB,2,3,H2,2,355.20484779749995,355.20633,355.70863,4345000.0,2+3
1,AB-02-005,1,9,Di1,TriB,2,3,Na1,1,731.3838148120999,731.38679,732.39014,5375000.0,2+3
2,AB-02-005,1,9,Di1,TriB,2,3,K1,1,747.3577522111999,747.36147,748.36423,702500.0,2+3
3,AB-02-005,1,10,Di2,TriB,2,3,H2,2,463.29112068029997,463.29423,463.79488,10610000.0,2+3
4,AB-02-005,1,10,Di2,TriB,2,3,H1,1,925.5744163287,925.5803,926.58282,16530000.0,2+3
5,AB-02-005,1,10,Di2,TriB,2,3,H4N1,1,942.6009654244,942.59213,943.60048,311300.0,2+3
6,AB-02-005,1,10,Di2,TriB,2,3,Na1,1,947.5563605776999,947.56194,948.56562,2233000.0,2+3
7,AB-02-005,1,10,Di2,TriB,2,3,K1,1,963.5302979768,963.53421,964.53787,4061000.0,2+3
8,AB-02-005,1,11,Di3,TriB,4,6,H2,2,895.1873447517,895.19272,895.68786,104200.0,4+6
9,AB-02-005,1,12,Di4,TriB,4,6,H1,1,1417.7959160942999,1417.80087,1418.80382,866900.0,4+6
10,AB-02-005,1,13,Di5,TriB,2,3,H1,1,925.2888088203001,925.2937,926.30066,423000.0,2+3
11,AB-02-005,1,13,Di5,TriB,2,3,Na1,1,947.2707530693001,947.27459,948.27853,222900.0,2+3
12,AB-02-005,1,14,Di6,TriB,4,6,H2,2,937.4957709459,937.50144,938.00128,611000.0,4+6
13,AB-02-005,1,15,Di7,TriB,2,3,K1,1,1047.451652594,1047.45634,1048.46074,87020.0,2+3
14,AB-02-005,1,17,Di1,TriC,2,3,H2,2,294.18444670179997,294.18583,294.68739,5013000.0,2+3
15,AB-02-005,1,17,Di1,TriC,2,3,H1,1,587.3610683717,587.36399,588.36634,15210000.0,2+3
16,AB-02-005,1,17,Di1,TriC,2,3,Na1,1,609.3430126206999,609.34493,610.34898,3946000.0,2+3
17,AB-02-005,1,17,Di1,TriC,2,3,K1,1,625.3169500198,625.32013,626.32222,156900.0,2+3
18,AB-02-005,1,18,Di2,TriC,2,3,H1,1,803.5336141373,803.53682,804.54486,11480000.0,2+3
19,AB-02-005,1,18,Di2,TriC,2,3,Na1,1,825.5155583863,825.52135,826.52283,22590000.0,2+3
20,AB-02-005,1,18,Di2,TriC,2,3,K1,1,841.4894957854,841.48458,842.48841,2317000.0,2+3
21,AB-02-005,1,19,Di3,TriC,2,3,H2,2,387.07718379610003,387.07792,387.57902,3262000.0,2+3
22,AB-02-005,1,19,Di3,TriC,2,3,H1,1,773.1465425603001,773.15244,774.15337,19630000.0,2+3
23,AB-02-005,1,19,Di3,TriC,2,3,Na1,1,795.1284868093001,795.13122,796.13406,10660000.0,2+3
24,AB-02-005,1,20,Di4,TriC,2,3,H2,2,294.18444670179997,294.18634,294.68708,6131000.0,2+3
25,AB-02-005,1,20,Di4,TriC,2,3,H1,1,587.3610683717,587.36447,588.36833,21520000.0,2+3
26,AB-02-005,1,20,Di4,TriC,2,3,Na1,1,609.3430126206999,609.34618,610.34836,15880000.0,2+3
27,AB-02-005,1,21,Di5,TriC,2,3,H2,2,402.12791583040007,402.13153,402.63089,10810000.0,2+3
28,AB-02-005,1,21,Di5,TriC,2,3,H1,1,803.2480066289002,803.25112,804.25463,5560000.0,2+3
29,AB-02-005,1,21,Di5,TriC,2,3,Na1,1,825.2299508779001,825.23185,826.23512,965200.0,2+3
30,AB-02-005,1,21,Di5,TriC,4,6,H1,1,1605.4881882259003,1605.48718,1606.49259,46260.0,4+6
31,AB-02-005,1,22,Di6,TriC,2,3,H2,2,408.2313968932,408.23332,408.73454,12610000.0,2+3
32,AB-02-005,1,22,Di6,TriC,2,3,Na2,2,430.2133411422,430.21734,430.7181,207100.0,2+3
33,AB-02-005,1,22,Di6,TriC,2,3,H1,1,815.4549687545,815.45874,816.46316,16930000.0,2+3
