,Unnamed: 0.1,Unnamed: 0,precursor_combination,plate_number,turbidity,turbidity_label,turbidity_binary,tri_name,di_name,di_smiles,tri_smiles,di_cactvs_fingerprint,di_charge,di_complexity,di_covalent_unit_count,di_defined_atom_stereo_count,di_defined_bond_stereo_count,di_exact_mass,di_h_bond_acceptor_count,di_h_bond_donor_count,di_heavy_atom_count,di_xlogp,di_molecular_weight,di_rotatable_bond_count,di_tpsa,tri_cactvs_fingerprint,tri_charge,tri_complexity,tri_covalent_unit_count,tri_defined_atom_stereo_count,tri_defined_bond_stereo_count,tri_exact_mass,tri_h_bond_acceptor_count,tri_h_bond_donor_count,tri_heavy_atom_count,tri_xlogp,tri_molecular_weight,tri_rotatable_bond_count,tri_tpsa,di_arom_group,tri_arom_group
0,0,0,A1,1,89.38973067,turbid,0,TriA,Di1,O=Cc1cccc(C=O)c1,Nc1nc(N)nc(N)n1,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
1,1,1,A2,1,95.42376422,turbid,0,TriA,Di2,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,Nc1nc(N)nc(N)n1,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224.0,1,0,0,206.094294304,3,1,15,2.7,206.24,3,54.4,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
2,2,2,A3,1,85.6081877,turbid,0,TriA,Di3,O=Cc1cc2sc(C=O)cc2s1,Nc1nc(N)nc(N)n1,000003718070300060000000000000000000000000012240000000000000000012000001F800001A04000000000800A0D0023001800000088C00285280000300802408104088190000C8082032A015108021002080002889870888808000000000000000000000000000000000000000000000,0,185.0,1,0,0,195.96527171,4,0,12,2.3,196.3,2,90.6,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,2,1
3,3,3,A4,1,100.8858135,turbid,0,TriA,Di4,O=Cc1ccc(C=O)cc1,Nc1nc(N)nc(N)n1,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E40000000000000008000000000000000000000000000,0,107.0,1,0,0,134.036779430,2,0,10,0.9,134.13,2,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
4,4,4,A5,1,104.259992,turbid,0,TriA,Di5,O=Cc1c(F)c(F)c(C=O)c(F)c1F,Nc1nc(N)nc(N)n1,00000371007031C0000000000000000000000000000000000000300000000000000000010000001B00000000000C00A0980A0000800000008802085080000200002400000088010000C80820328014108021002080000889070888008E40000000000000008000000000000000000000000000,0,195.0,1,0,0,205.99909195,6,0,14,1.2,206.09,2,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
5,5,5,A6,1,74.23966381,turbid,0,TriA,Di6,O=Cc1ccc(-c2ccc(C=O)cc2)cc1,Nc1nc(N)nc(N)n1,00000371C0703000000000000000000000000000000000000000306000000000000000014000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888C08EC0000000000000008000000000000000000000000000,0,207.0,1,0,0,210.068079557,2,0,16,3.3,210.23,3,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,2,1
6,6,6,A7,1,79.86386215,turbid,0,TriA,Di7,O=Cc1c2ccccc2c(C=O)c2ccccc12,Nc1nc(N)nc(N)n1,00000371C07830000000000000000000000000000000000000003060C0000000000000C15400001A00000000000C00A098023000C00000008802285280000200002400000888010000C80820328015108021002080000889070888C08EC0000200001000008000040000200000000000000000,0,269.0,1,0,0,234.068079557,2,0,18,3.3,234.25,2,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,3,1
7,7,7,A8,1,103.7091004,turbid,0,TriA,Di8,O=Cc1ccc2ccc3ccc(C=O)nc3c2n1,Nc1nc(N)nc(N)n1,00000371C07330000000000000000000000000000000000000003C5880000000000000B1FE00001E00000000000C08A19E0230C0F2081000A8032C72C400828024271220089821B074D80860F2C095B1942108608000C8C9871888C08E40000040000200208000008000040040000000000000,0,302.0,1,0,0,236.058577502,4,0,18,2.0,236.22,2,59.9,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,3,1
8,8,8,A9,3,70.60357591,turbid,0,TriA,Di9,O=Cc1ccsc1C=O,Nc1nc(N)nc(N)n1,0000037180603000400000000000000000000000000120000000000000000000000000018000001A04000000000C00A4D802B001800000088C02285280000300802408104888190000C8082032A015108001002080002889860900000A00000000000000000000000000000000000000000000,0,124.0,1,0,0,139.99320054,3,0,9,0.9,140.16,2,62.4,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
9,9,9,A10,3,104.6873322,turbid,0,TriA,Di10,O=Cc1ccccc1C=O,Nc1nc(N)nc(N)n1,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870988808E80000000001000000000000000200000000000000000,0,115.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,0.0,63.3,1.0,0.0,0.0,126.06539422,6.0,3.0,9.0,-1.4,126.12,0.0,117.0,1,1
