,precursor_combination,plate_number,turbidity
0,A1,1,89.38973067
1,A2,1,95.42376422
2,A3,1,85.6081877
3,A4,1,100.8858135
4,A5,1,104.259992
5,A6,1,74.23966381
6,A7,1,79.86386215
7,A8,1,103.7091004
8,A9,3,70.60357591
9,A10,3,104.6873322
10,A11,3,76.99275932
11,A12,3,100.9246896
12,A13,3,78.25828313
13,A14,3,75.354533
14,A15,3,77.93548433
15,A16,3,73.44841115
16,B1,1,68.010419
17,B2,1,51.06649374
18,B3,1,108.9015986
19,B4,1,57.66172808
20,B5,1,53.12176843
21,B6,1,53.71876184
22,B7,1,52.29870393
23,B8,1,80.47123011
24,B9,3,121.5509188
25,B10,3,56.59480953
26,B11,3,106.7697374
27,B12,3,74.07075506
28,B13,3,52.4317219
29,B14,3,68.63971798
30,B15,3,53.19930073
31,B16,3,60.09036169
32,C1,1,52.05628205
33,C2,1,52.85598093
34,C3,1,64.75422034
35,C4,1,53.91345408
36,C5,1,51.8039776
37,C6,1,74.33368164
38,C7,1,66.6871812
39,C8,1,58.96680882
40,C9,3,68.09324971
41,C10,3,56.59724651
42,C11,3,49.92344195
43,C12,3,57.36143787
44,C13,3,55.52662215
45,C14,3,70.21774324
46,C15,3,54.01094913
47,C16,3,56.36636622
48,D1,1,100.0390146
49,D2,1,46.12427218
50,D3,1,47.06490225
51,D4,1,57.55812354
52,D5,1,55.47241289
53,D6,1,56.47665451
54,D7,1,46.90333854
55,D8,1,55.67372629
56,D9,3,61.86217277
57,D10,3,55.89027059
58,D11,3,52.37679952
59,D12,3,59.75395926
60,D13,3,54.45425455
61,D14,3,57.57273341
62,D15,3,55.06911434
63,D16,3,58.44660422
64,E1,1,77.14365028
65,E2,1,56.0251398
66,E3,1,84.83322602
67,E4,1,56.36883985
68,E5,1,78.57970349
69,E6,1,49.85453172
70,E7,1,70.65191797
71,E8,1,62.12037419
72,E9,3,54.73455854
73,E10,3,66.12243718
74,E11,3,55.39366702
75,E12,3,61.33763369
76,E13,3,55.55211202
77,E14,3,56.11293047
78,E15,3,52.82665946
79,E16,3,56.15162522
80,F1,1,60.89929095
81,F2,1,72.15638983
82,F3,1,103.4969956
83,F4,1,67.76013089
84,F5,1,73.0765318
85,F6,1,79.29629628
86,F7,1,72.58106711
87,F8,1,90.65678674
88,F9,3,62.82126394
89,F10,3,73.65235589
90,F11,3,64.08024387
91,F12,3,61.18637432
92,F13,3,63.81781417
93,F14,3,60.59629249
94,F15,3,62.89991704
95,F16,3,66.09592456
96,G17,2,59.93416122
97,G18,2,54.48092273
98,G19,2,66.11060175
99,G20,2,53.44653238
100,G21,2,106.5425456
101,G22,2,59.82346828
102,G23,2,59.20082438
103,G24,2,59.44878927
104,G25,1,23.8042273
105,G26,1,25.31021438
